Enzyme	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Catalyzes
SAM: chavicol O- methyltransferase					SAM: chavicol <i>O</i>- methyltransferase
&Delta;<sup>9</sup>-tetrahydrocannabinolate synthase	THCA	THCA			&Delta;<sup>9</sup>-tetrahydrocannabinolate synthase
uroporphyrinogen decarboxylase	hemE	hemE	2424282	2425313	uroporphyrinogen decarboxylase
UDP-glucuronate:LPS(HepIII) glycosyltransferase	waaH	b3615	3789047	3790081	UDP-glucuronate:LPS(HepIII) glycosyltransferase
o-succinylbenzoate synthase	menC	b2261	2375000	2375962	<i>o</i>-succinylbenzoate synthase
maleamate amidohydrolase	vppG	vppG			maleamate amidohydrolase
olefin &beta;-lactone synthetase	oleC	XCC0218			3-alkyl-4-acyloxetan-2-one synthetase
oxalyl-CoA decarboxylase	oxc	oxc			oxalyl-CoA decarboxylase
geranyl acetate esterase (GAE-III)					geranyl acetate esterase (GAE-III)
3-ketosteroid-&Delta;1-dehydrogenase	acmB	ACG33_00240			testosterone &Delta;1-dehydrogenase
TUM1 sulfurtransferase	TUM1	YOR251C	802550	803464	cysteine desulfurase:TUM1 sulfurtransferase // thiosulfate sulfurtransferase
polyphosphate-dependent glucokinase subunit	ppgK	ppgK			polyphosphate-dependent glucokinase
galactoglycerolipid lipase	PGD1	PGD1			1-18:1-2-16:0-monogalactosyldiacylglycerol lipase
isoflavone-7-O-glucoside &beta;-glucosidase					(-)-maackiain-3-<i>O</i>-glucoside &beta;-glucosidase
&alpha;-1,4-glucan lyase 1	Ag111	Ag111			&alpha;-1,4-glucan lyase
lycopene cleavage oxygenase	LCD	LCD			lycopene cleavage oxygenase
UDP-<em>N</em>-acetylglucosamine 4,6-dehydratase (configuration-inverting)	pseB	pseB			UDP-<em>N</em>-acetylglucosamine 4,6-dehydratase (configuration-inverting)
aldose reductase	AKR1B1	AKR1B1			methylglyoxal reductase // hydroxyacetone reductase // aldose reductase
<i>N</i>-acetylphosphatidylethanolamine-hydrolysing phospholipase D	NAPEPLD	NAPEPLD	101227579	101252929	<i>N</i>-acylphosphatidylethanolamine-hydrolysing phospholipase // <i>N</i>-arachidonoyl-phosphatidylethanolamine-hydrolysing phospholipase // <i>N</i>-(acyl)ethanolamine plasmalogen -hydrolysing phospholipase D
taxiphyllin glucosidase					taxiphyllin glucosidase
7&beta;-dihydroxy-3-oxo-5&beta;-cholanoyl-CoA 4-oxidoreductase	baiH	baiH			7&beta;-dihydroxy-3-oxo-5&beta;-cholanoyl-CoA 4-oxidoreductase
long-chain acyl-CoA synthetase 3	ACSL3	ACSL3	222473621	222528878	Long-chain-fatty-acid--CoA ligase
glucose-6-phosphatase 3	G6PC3	G6PC3	44325313	44330911	glucose-6-phosphatase
aequorin-1	Aequorin-1				hydroperoxy-coelenterazine decarboxylase // coelenterazine peroxidase
<i>holo</i>-[DhbF non-ribosomal peptide synthase]	dhbF	dhbF			2,3-dihydroxybenzoyl-[DhbB]:glycyl-[DhbB] 2,3-dihydroxybenzoyltransferase // bacillibactin synthase // 2,3-dihydroxybenzoylglycyl[DhbB]:L-threonyl-[DhbB] 2,3-dihydroxybenzoylglycyltransferase // L-threonine-[DhbF non-ribosomal peptide synthase] ligase // glycine-[DhbF non-ribosomal peptide synthase] ligase
NifEN scaffold protein	nifE // nifN				NifEN scaffold protein
3-oxo-acyl CoA thiolase	fadA6	Rv3556c	3995804	3996964	9-carboxy-5-methyl-4,8-dioxononanoyl-CoA thiolase
AMP-dependent phosphite dehydrogenase	ApdA	ApdA			AMP-dependent phosphite dehydrogenase
glutarate dioxygenase GlaH	glaH	b2659	2788985	2789962	glutarate dioxygenase
histidyltryptophyldiketopiperazine synthetase	roqA	roqA			histidyltryptophyldiketopiperazine synthetase
camphene synthase	g-cam	g-cam			camphene synthase // limonene synthase // &alpha;-pinene synthase
PBP1 D,D-transpeptidase	pbpA	pbpA			peptidoglycan DD transpeptidase
ferruginol synthase	CYP76AH1	CYP76AH1			ferruginol synthase
benzoyl-CoA 2,3-epoxidase	boxB // boxA				benzoyl-CoA 2,3-epoxidase
acryloyl-CoA hydratase/3-hydroxypropanoyl-CoA hydrolase	acuK	acuK			3-hydroxypropanoyl-CoA hydrolase // acryloyl-CoA hydratase
fructosyl amine oxidase (fructosamine-forming)					fructosyl amine oxidase (fructosamine-forming) // <i>N</i>-(1-deoxy-D-fructos-1-yl)-6-aminohexanoate oxidase (fructosamine-forming) // N-&epsilon;-(1-deoxyfructosyl)-L-lysine oxidase (fructosamine-forming)
periplasmic serine endoprotease DegP	degP	b0161	180884	182308	periplasmic serine endoprotease DegP
&gamma;-butyrobetainyl-CoA dehydrogenase	bcoC	SM2011_RS25840	2431847	2433007	&gamma;-butyrobetainyl-CoA dehydrogenase
UDP-4-amino-4,6-dideoxy-alpha-D-N-acetyl-D-glucosamine transaminase	pglC	pglC			UDP-4-amino-4,6-dideoxy-&alpha;-D-<i>N</i>-acetyl-D-glucosamine transaminase
acyl-homoserine-lactone synthase	luxI	luxI			<i>N</i>-(3-oxohexanoyl)-L-homoserine lactone synthase // acyl-homoserine-lactone synthase
plasmepsin 4	plasmepsin-4	plasmepsin-4			hemoglobin aspartic protease
3-oxoisoapionate-4-phosphate decarboxylase	oiaX	Arad_9230			3-oxoisoapionate-4-phosphate decarboxylase
[acyl-carrier-protein] <i>S</i>-malonyltransferase LnmG	lnmG	lnmG			[acyl-carrier-protein] <i>S</i>-malonyltransferase
homocitrate synthase	nifV	nifV			homocitrate synthase
demethylphylloquinone dehydrogenase	NDC1	NDC1			demethylphylloquinone dehydrogenase
&alpha;-L-arabinofuranosidase 1	abfA	BSU28720	2938330	2939832	1,5-&alpha;-L-arabinofuranosidase
lupeol/lupan-3&beta;,20-diol synthase	LUP1	LUP1			lupan-3&beta;,20-diol synthase // &beta;-amyrin synthase // lupeol synthase
aspyridone synthetase	AspA	AspA			aspyridone synthetase // aspyridone synthetase
dienelactone hydrolase					5-chloro-2-methyl-dienelactone hydrolase // 2-chloro-3-methyl-dienelactone hydrolase // 3-chloro-2-methyl-dienelactone hydrolase // 2-chloro-5-methyl-dienelactone hydrolase
isoaspartyl dipeptidase / asparaginase 3	iaaA		866568	867533	isoaspartyl dipeptide hydrolase // asparaginase
inducible ornithine decarboxylase	speF	b0693	718262	720460	ornithine decarboxylase
3-carboxymethyl-3-hydroxy-acyl-[acp] dehydratase (bacillaene biosynthesis)	pksH	BSU17160	1791193	1791972	3-carboxymethyl-3-hydroxy-acyl-[acp] dehydratase
pectin methylesterase A	pemA	pemA			pectin methylesterase // pectin methylesterase
4-hydroxyphenylpyruvate dioxygenase	PDS1	PDS1			4-hydroxyphenylpyruvate dioxygenase
arylsulfatase	atsA	PA0183			4-nitrocatecholsulfatase // arylsulfatase
polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase Psr	Psr	spr1226			polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase // polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase
dihydroflavonol-4-reductase	DFR1	DFR1			dihydroquercetin 4-reductase
alkene monooxygenase	isoA // isoE // isoB // isoF // isoC // isoD				styrene monooxygenase // isoprene monooxygenase
methylenetetrahydrofolate dehydrogenase [multifunctional]	folD	folD			methylenetetrahydrofolate dehydrogenase // methenyltetrahydrofolate cyclohydrolase
succinate dehydrogenase subunit					succinate dehydrogenase
fructose dehydrogenase	fdhS // fdhL // fdhC				fructose dehydrogenase
hygromycin B synthase	hygX	hygX			hygromycin B synthase
geraniol glucoside 6'-<i>O</i>-xylosyltransferase	94P1	94P1			geraniol glucoside 6'-<i>O</i>-xylosyltransferase
asperlicin C monooxygenase	AspB	AspB			asperlicin C monooxygenase
anthocyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)	AA7GT	AA7GT			delphinidin 3-<i>O</i>-rutinoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // delphinidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // pelargonidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // cyanidin 3,7-diglucoside glucosidase // cyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // cyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
decanoyl-[acp] 2-dehydrogenase	hmqF	BTH_II1930			decanoate-[HmqF protein] ligase // decanoyl-[acp] 2-dehydrogenase
glucose-6-phosphate isomerase	fruI	fruI			glucose-6-phosphate isomerase
cytochrome P450 2B6	CYP2B6	CYP2B6	41888928	41916025	unspecific monooxygenase // bupropion hydroxylase
carbonic anhydrase 2	can	b0126	142008	142670	carbonic anhydrase
glutathione <i>S</i>-transferase GstA	gstA	b1635	1714377	1714982	glutathione <i>S</i>-transferase
N-acetylneuraminate lyase	nanA	nanA			<i>N</i>-acetylneuraminate lyase
3&beta;-hydroxysteroid/C4-decarboxylase	3&beta;HSD	3&beta;HSD			(3&beta;,9&beta;)-4&alpha;-demethyl-4&alpha;-carboxy-9,19-cyclolanost-3-ol 3-dehydrogenase // 4&alpha;-carboxy-5&alpha;-cholest-7-en-3&beta;-ol 3-dehydrogenase // 4&alpha;-carboxy-4&beta;,14&alpha;-dimethyl-9&beta;,19-cyclo-5&alpha;-ergost-24(24<sup>1</sup>)-en-3&beta;-ol 3-dehydrogenase // 4&alpha;-carboxy-ergosta-7,24(24<sup>1</sup>)-dien-3&beta;-ol 3-dehydrogenase // 4&alpha;-carboxy-stigmasta-7,24(24<sup>1</sup>)-dien-3&beta;-ol 3-dehydrogenase
&alpha;-1,2 mannosyltransferase KTR1	KTR1	YOR099W	511825	513006	&alpha;-D-mannosyl-[protein] &alpha;-1,2 mannosyltransferase
<em>trans</em>-aconitate 3-methyltransferase	TMT1	YER175C	539464	540363	(2<i>R</i>,3<i>S</i>)-3-isopropylmalate 4-methyltransferase // <em>trans</em>-aconitate 3-methyltransferase
&alpha;-mannosidase	mngB	b0732	767978	770611	2-<i>O</i>-(6-phospho-&alpha;-mannosyl)-D-glycerate hydrolase
NAD(P)H-dependent nitroreductase	NfsB	NfsB			NAD(P)H-dependent nitroreductase // NAD(P)H-dependent nitroreductase // NAD(P)H-dependent nitroreductase
pyruvate ferredoxin oxidoreductase alpha subunit // pyruvate ferredoxin oxidoreductase beta subunit // pyruvate ferredoxin oxidoreductase delta subunit // pyruvate ferredoxin oxidoreductase gamma subunit	porG // porD // porB // porA				pyruvate decarboxylase // pyruvate ferredoxin oxidoreductase
germacrene D synthase	Sc11	Sc11			germacrene D synthase
pantoate:&beta;-alanine ligase	PANC	PANC			pantoate:&beta;-alanine ligase
12&alpha;-hydroxysteroid dehydrogenase					cholate 12&alpha;-hydroxy dehydrogenase
(-)-limonene-3-hydroxylase	CYP71D15	CYP71D15			(-)-limonene-3-hydroxylase
anhydro-<i>N</i>-acetylmuramic acid kinase	anmK	b1640	1718493	1719602	anhydro-<i>N</i>-acetylmuramic acid kinase
hydroxyneurosporene methyltransferase	crtF	crtF			demethylspheroidene methyltransferase // hydroxyneurosporene methyltransferase
purple acid phosphatase	PAP1	PAP1			purple acid phosphatase
phosphorylase b kinase (liver isoform)	CALM1 // PHKG2 // PHKB // PHKA2		47556046	47572398	phosphorylase kinase
styrylpyrone synthase 1	SPS1	SPS1			(<i>E</i>)-4-hydroxy-6-(styryl)pyran-2-one synthase
HECT-type E3 ubiquitin transferase NEDD4L	NEDD4L	NEDD4L	55688947	56039174	HECT-type E3 ubiquitin transferase // HECT-type E3 ubiquitin transferase
3-demethylubiquinone-9 3-O-methyltransferase [multifunctional]	COQ3	COQ3			3-demethylubiquinone-9 3-<i>O</i>-methyltransferase // polyprenyldihydroxybenzoate methyltransferase
phosphoribosylglycinamide formyltransferase 1	purN	b2500	2622234	2622872	phosphoribosylglycinamide formyltransferase 1
malonate decarboxylase acetyl-[acp]:malonate-[acp] transferase component	mdcA	mdcA			malonate decarboxylase acetyl-[acp]:malonate-[acp] transferase
4-(carboxyamino)butanoate adenylase	gbnB	Sven_4180			4-(carboxyamino)butanoate adenylase
methylmalonyl-CoA epimerase					methylmalonyl-CoA epimerase
spinosyn polyketide synthase SpnB	spnB	spnB			spinosyn polyketide synthase module 2
peptidoglycan transglycosylase/L,D transpeptidase	ldt	Rv0116c			peptidoglycan transglycosylase/L,D transpeptidase
(4-hydroxyphenyl)alkanoate synthase	msl7	msl7			19-(4-hydroxyphenyl)nonadecanoate synthase // 17-(4-hydroxyphenyl)heptadecanoate synthase
L-sorbosone dehydrogenase	BAA13145	BAA13145			L-sorbosone dehydrogenase
urease	EU4	EU4			urease
6-diazo-5-oxo-L-norleucyl-6-diazo-5-oxo-L-norleucine synthase	azpM	azpM			6-diazo-5-oxo-L-norleucyl-6-diazo-5-oxo-L-norleucine synthase
bikaverin monooxygenase	bik2	bik2			7,10-diketo-pre-bikaverin 6-hydroxylase // pre-bikaverin 7-hydroxylase
&alpha;-mannosidase	BT_3774	BT_3774			&alpha;-mannosidase // &alpha;-mannosidase
anthocyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase					delphinidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // pelargonidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent) // cyanidin 3-<i>O</i>-glucoside 5-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
<i>N</i>-acetylglucosamine-6-sulfatase form A	GNS	GNS	65075756	65119060	<i>N</i>-acetylglucosamine-6-sulfatase // <i>N</i>-acetylglucosamine-6-sulfatase
2-phosphinomethylmalate synthase	pms	pms			2-phosphinomethylmalate synthase
<i>cis</i>-(-)-7,2'-dihydroxy-4',5'-methylenedioxyisoflavanol dehydratase					<i>cis</i>-(-)-7,2'-dihydroxy-4',5'-methylenedioxyisoflavanol dehydratase
soluble starch synthase I	SS1	AT5G24300	8266801	8271199	starch synthase
glucose oxidase	gox	gox			glucose oxidase
UDP-glucose: acyl glucosyltransferase	SAD10	SAD10			UDP-glucose: anthranilate glucosyltransferase // UDP-glucose: N-methylanthranilate glucosyltransferase
tyrosine 3-monooxygenase	TH	TH	2273253	2281139	tyrosine 3-monooxygenase
&alpha;-1,3-galactosidase B	glaB	glaB			&alpha;-1,3-galactosidase B // &alpha;-1,3-galactosidase B
peptidyl-prolyl <i>cis-trans</i> isomerase FkpB	fkpB	b0028	25826	26275	peptidyl-prolyl <i>cis-trans</i> isomerase
luteolin diglucuronide peroxidase					luteolin diglucuronide peroxidase N3
7-geranyloxy-5-hydroxy-2-methoxy-3-methylnaphthalene-1,4-dione synthase [multifunctional]	fur7	fur7			7-geranyloxy-5-hydroxy-2-methoxy-3-methylnaphthalene-1,4-dione synthase // 6-linalyl-2-<em>O</em>,3-dimethylflaviolin synthase
&alpha;-(1,2)-fucosyltransferase 2	FUT2	FUT2	49567358	49577331	lacto-N-tetraose &alpha;-2-fucosyltransferase // lactose &alpha;-2-fucosyltransferase // SSEA-3 &alpha;-2-fucosyltransferase // lactotetraosylceramide &alpha;-2-fucosyltransferase // Le<sup>a</sup> antigen &alpha;-2-fucosyltransferase
thiamine diphosphate kinase					thiamine diphosphate kinase
pyruvate kinase					pyruvate kinase
signal peptidase II	lspA	BSU15450	1616744	1617208	signal peptidase II
myrosinase					sinigrin glucohydrolase // thioglucoside glucohydrolase
fumarate hydratase	fumC	CT_855	1004550	1005941	fumarate hydratase
crotonyl-CoA thioesterase	gbuF	DW099_14580			crotonyl-CoA thioesterase
[acyl-carrier-protein] <i>S</i>-malonyltransferase	fabD	b1092	1149728	1150657	[acyl-carrier-protein] <i>S</i>-malonyltransferase
sphingolipid very long chain fatty acid alpha-hydroxylase	FAH1	FAH1			sphingolipid very long chain fatty acid &alpha;-hydroxylase
deoxynortryptoquialanone monooxygenase	TqaE	TqaE			deoxynortryptoquialanone monooxygenase
cytochrome P450 18a1	Cyp18a1	Cyp18a1			20-hydroxyecdysone 26-hydroxylase
acyl CoA carboxylase	pccB // accC // accB				acetyl CoA carboxytransferase // propionyl CoA carboxylase // biotin carboxylase
alpha-galactosidase	melA	b4119	4341911	4343266	&alpha;-galactosidase // &alpha;-galactosidase
vestitone reductase	pVR1	pVR1			vestitone reductase
betaine aldehyde dehydrogenase	BADH	BADH			betaine aldehyde dehydrogenase
GDP-3-dehydro-6-deoxymannose aminotransferase	fscMII	fscMII			GDP-3-dehydro-6-deoxymannose aminotransferase
falcipain 2	falcipain-2	falcipain-2			hemoglobinase
xanthone-specific prenyltransferase	HcPT	HcPT			xanthone-specific prenyltransferase
&Delta;<small><sup>14</sup></small>-sterol reductase	FK	CHC_T00006481001			&Delta;<sup>8,14</sup>sterol &Delta;14-sterol reductase
chloroplastic fructose-bisphosphate aldolase					fructose-1-phosphate aldolase // fructose-1,6-bisphosphate aldolase
teichuronic acid polymerase	tuaE	BSU35570	3652588	3654054	teichuronic acid polymerase
cathepsin B	Ctsb	Ctsb			cathepsin B // [thyroglobulin]-3,5,3'-triiodo-L-thyronine hydrolase // [thyroglobulin]-L-thyroxine hydrolase
3-acetyl-(3,5R,7R,8R)-3,5,7,8-tetrahydroxynonanoyl-[PKS] dehydratase [multifunctional]	bryT	AB835_05580			3-acetyl-(3,5R,7R,8R)-3,5,7,8-tetrahydroxynonanoyl-[PKS] dehydratase // (6E,11E,13S,15R,16R)-3-acetyl-3,5,13,15,16-pentahydroxy-11-(2-methoxy-2-oxoethylidene)-8,8-dimethyl-9-oxoheptadec-6-enoyl-[PKS] dehydratase
(S)-mandelate dehydrogenase	mdlB	mdlB			(S)-mandelate dehydrogenase
diacylglycerol cholinephosphotransferase	CPT	TDE_0021			diacylglycerol cholinephosphotransferase
LPS core oligosaccharide mannosyltransferase WadC	wadC	BAB_RS23165	1473018	1474082	GDP-Man:&beta;-Glc-(1&rarr;4)-Kdo-(2&rarr;4)-[&alpha;-Man-(1&rarr;5)]-Kdo-(2&rarr;6)-[lipid A] &alpha;-(1,5)-mannosyltransferase
3,5-dihydroxyanisole O-methyltransferase [multifunctional]	oomt3	oomt3			3,5-dihydroxyanisole <i>O</i>-methyltransferase // orcinol <i>O</i>-methyltransferase
furaneol <i>O</i>-methyltransferase	FaOMT	FaOMT			caffeate <em>O</em>-methyltransferase // furaneol <i>O</i>-methyltransferase
pyruvate:ferredoxin oxidoreductase alpha subunit // pyruvate:ferredoxin oxidoreductase beta subunit // pyruvate:ferredoxin oxidoreductase gamma subunit // pyruvate:ferredoxin oxidoreductase delta subunit // pyruvate:ferredoxin oxidoreductase epsilon subunit	porE // porD // porG // porB // porA				pyruvate:ferredoxin oxidoreductase
elongator holoenzyme complex	ELP4 // IKI1 // ELP6 // IKI3 // ELP2 // ELP3		360209	361579	tRNA carboxymetyluridine synthase
NAD-dependent formate dehydrogenase subunit					NAD-dependent formate dehydrogenase
transaldolase B	talB	b0008	8238	9191	transaldolase
nicotianamine synthase	NAS1	NAS1			nicotianamine synthase
dehydro coenzyme F<sub>420</sub>-0 reductase/coenzyme F<sub>420</sub>:L-glutamate ligase	fbiB	Rv3262	3641535	3642881	dehydro coenzyme F<sub>420</sub>-0 reductase // coenzyme F<small><sub>420</sub></small>-0:<small>L</small>-glutamate ligase // coenzyme F<small><sub>420</sub></small>-1:&gamma;-<small>L</small>-glutamate ligase
&alpha;-humulene 10-hydroxylase	CYP71BA1	CYP71BA1			&alpha;-humulene 10-hydroxylase
blood-group-substance endo-1,4-&beta;-galactosidase	eabC	eabC			B-antigen endo-1,4-&beta;-galactosidase // A-antigen endo-1,4-&beta;-galactosidase
(-)-deoxypodophyllotoxin hydroxylase	CYP82D61	CYP82D61			deoxypodophyllotoxin hydroxylase // (-)-4'-desmethyl-deoxypodophyllotoxin hydroxylase
isocitrate dehydrogenase (NAD)	IDH3A // IDH3B // IDH3G		71531430	71552598	isocitrate dehydrogenase
fructokinase	fruK	fruK			fructokinase
deoxyhypusine synthase	DHS	DHS			deoxyhypusine synthase
pectin lyase D	pelD	pelD			pectin lyase
protein disaggregase	clpB	b2592	2731600	2734173	protein disaggregase
thymidylate synthase	TYMS	TYMS	645225	661101	thymidylate synthase
lipoarabinomannan &alpha;(1&rarr;5) arabinofuranosyl transferase EmbC	embC	Rv3793			lipoarabinomannan &alpha;(1&rarr;5) arabinofuranosyl transferase
Chp2 diacyltrehalose acyltransferase	chp2	Rv1184c			mycolipenyl-CoA--diacyltrehalose mycolipenyltransferase
3 &beta;-hydroxysteroid dehydrogenase/ &Delta; 5-->4-isomerase type 1	HSD3B1	HSD3B1	118887712	118895538	androstenedione isomerase // Steroid Delta-isomerase // steroid Delta-isomerase // 5-&alpha;-androstan-3&beta;,17&beta;-diol &Delta;-isomerase // DHA dehydrogenase // 17-hydroxypregnenolone dehydrogenase // 17-hydroxyprogesterone isomerase // pregnenolone 3-dehydrogenase // progesterone isomerase
tocopherol cyclase	vte3	vte3			&delta;-tocopherol cyclase // &gamma;-tocopherol cyclase
cytochrome <i>b</i><sub>6</sub><i>f</i> complex	petC // petM // petD // petG // petN // petB // petA		1252950	1253489	plastoquinol-plastocyanin reductase
anthranilate-CoA ligase	auaEII	auaEII			anthranilate-CoA ligase
multifunctional triterpene synthase	PEN6	PEN6	29536539	29540070	&beta;-<i>seco</i>-amyrin synthase // &alpha;-<i>seco</i>-amyrin synthase // bauerenol synthase // &alpha;-amyrin synthase // lupeol synthase // multiflorenol synthase
protocatechuate 2,3-dioxygenase	praA	praA			protocatechuate 2,3-dioxygenase
beta-alanine aminotransferase subunit					&beta;-alanine aminotransferase
mannose-1-phosphate guanylyltransferase	cpsB	b2049	2123084	2124520	mannose-1-phosphate guanylyltransferase
isoflavone-7-O-glucoside-6''-O-malonate malonylesterase					isoflavone-7-O-glucoside-6''-O-malonate malonylesterase
<i>S</i>-methyl-5'-thioadenosine phosphorylase	mtnP	Rru_A0361			5'-deoxyadenosine phosphorylase // <i>S</i>-methyl-5'-thioadenosine phosphorylase
UDP-glucose pyrophosphorylase	UGP	UGP			UDP-glucose pyrophosphorylase
cytochrome <i>c</i><sub>552</sub> nitrite reductase	nrfA	b4070	4287764	4289200	periplasmic nitrite reductase // periplasmic nitrite reductase
