Pathway	Reactions
PWY-5920	RXN0-1461 // PROTOHEMEFERROCHELAT-RXN // PROTOPORGENOXI-RXN // UROGENDECARBOX-RXN // UROGENIIISYN-RXN // OHMETHYLBILANESYN-RXN // PORPHOBILSYNTH-RXN // 5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
PWY-7315	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RFFTRANS-RXN // TDPFUCACTRANS-RXN
PWY-7316	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-13755 // 2.6.1.33-RXN
PWY-7317	RXN-14735 // RXN-12810 // RXN-12840 // RXN-14533 // RXN-14532 // 1.1.1.266-RXN // RXN-13749 // RXN-12839 // RXN-12811 // RXN-12806 // RFFTRANS-RXN // TDPFUCACTRANS-RXN // RXN-13755 // 2.6.1.33-RXN // DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN
PWY-7312	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-14533 // RXN-14532
PWY-7318	DTDPGLUCDEHYDRAT-RXN // DTDPGLUCOSEPP-RXN // RXN-14735 // RXN-12810 // RXN-12840
PEPTIDOGLYCANSYN-PWY	RXN-16650 // TRANS-RXN0-286 // DALADALALIG-RXN // UDP-NACMURALGLDAPLIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDP-NACMURALGLDAPAALIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // PHOSNACMURPENTATRANS-RXN // NACGLCTRANS-RXN
PWY-7228	DGDPKIN-RXN // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-7229	DADPKIN-RXN // ADPREDUCT-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN
PWY-7220	RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN
PWY-7221	GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-1861	RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // TRANSALDOL-RXN // 2TRANSKETO-RXN // F16ALDOLASE-RXN // 6PFRUCTPHOS-RXN // R12-RXN // R10-RXN
PWY-7165	RXN0-6373 // RXN-12108 // RXN0-7020 // 1.1.1.274-RXN // DEHYDROGLUCONATE-DEHYDROGENASE-RXN // GLUCONATE-2-DEHYDROGENASE-RXN // GLUCONOLACT-RXN
PWY-7111	RXN-7657 // RXN-7643 // DIHYDROXYISOVALDEHYDRAT-RXN // ACETOLACTREDUCTOISOM-RXN // ACETOLACTSYN-RXN
GLYCOGENSYNTH-PWY	PHOSPHOGLUCMUT-RXN // GLUC1PADENYLTRANS-RXN // GLYCOGEN-BRANCH-RXN // GLYCOGENSYN-RXN
PWY-6785	HYDROG-RXN
PWY-7626	RXN-16300 // CHORISMATEMUT-RXN // RXN-16296 // RXN-16299 // RXN-16285 // RXN-16297 // RXN-16298 // RXN-16265 // RXN-16264 // RXN-16263
PWY-7097	1.2.1.67-RXN // RXN-2
PWY-7094	RXN-13615 // RXN-13613 // RXN-12490 // RXN-13617 // RXN-13616 // RXN-13614
PWY-7090	RXN-13585 // RXN-13596 // RXN-13589 // 5.1.3.23-RXN // 1.1.1.136-RXN
PWY-6545	RXN-12195 // CDPREDUCT-RXN // DCDPKIN-RXN // UDPREDUCT-RXN // DUDPKIN-RXN // DUTP-PYROP-RXN // DTDPKIN-RXN // DTMPKI-RXN // RXN-8850
PWY-6540	RXN-20055 // RXN-20050 // RXN-20049 // RXN-15460 // RXN-15459 // RXN-15458 // RXN-11527 // RXN-8970 // RXN-8969 // RXN-8962
PWY-7098	RXN-10891 // 1.2.1.67-RXN
PWY-7015	RXN-13146 // RXN-13165 // RXN-13204 // RXN-13203
PWY-5534	RXN-8806 // 1.14.13.69-RXN // RXN-8805 // 4.2.99.19-RXN // 1.1.1.268-RXN // 1.1.1.269-RXN // 1.8.1.5-RXN
SER-GLYSYN-PWY	GLYOHMETRANS-RXN // RXN0-5114 // PGLYCDEHYDROG-RXN // PSERTRANSAM-RXN
PWY-6714	RXN-12158 // RXN-12149 // L-RHAMNOSE-1-DEHYDROGENASE-RXN // RXN-12096 // RXN-12095 // L-RHAMNONATE-DEHYDRATASE-RXN // L-RHAMNONO-14-LACTONASE-RXN
DENITRIFICATION-PWY	TRANS-RXN0-239 // RXN-11236 // RXN-15838 // RXN-12130 // NITRIC-OXIDE-REDUCTASE-RXN
